id,name,brand,price,mileage,fuel_type,transmission,seating_capacity,body_type,rating,use_case,features,engine_cc,safety_rating,year,image_url
72,Tata Safari 2023,Tata,2121108.0,16.0,Diesel,Automatic,7,SUV,4.4,"Family,Long Drive",Panoramic Sunroof|Airbags|Cruise Control|JBL Audio,1956,5,2023,tata_safari_2023.jpg
73,MG Hector 2024,MG,1796636.0,15.1,Petrol,Automatic,5,SUV,4.3,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2024,mg_hector_2025.jpg
74,Tata Harrier 2025,Tata,1774021.0,16.8,Diesel,Manual,5,SUV,4.7,"Family,Long Drive",Panoramic Sunroof|Airbags|Cruise Control|JBL Audio,1956,5,2025,tata_harrier_2025.jpg
75,Honda Amaze 2023,Honda,844929.0,18.5,Petrol,Automatic,5,Sedan,4.8,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2023,honda_amaze_2024.jpg
76,Maruti Suzuki Baleno 2024,Maruti Suzuki,869574.0,22.9,Petrol,Automatic,5,Hatchback,4.6,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2024,maruti_suzuki_maruti_baleno.jpg
77,Tata Altroz 2024,Tata,828004.0,22.5,Diesel,Manual,5,Hatchback,4.7,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2024,tata_altroz_2025.jpg
78,Mahindra Scorpio N 2025,Mahindra,1570564.0,15.7,Diesel,Automatic,7,SUV,4.4,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2025,mahindra_scorpio_n_2025.jpg
79,Mahindra XUV700 2024,Mahindra,1786150.0,16.7,Diesel,Automatic,7,SUV,4.7,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2024,mahindra_xuv700_2025.jpg
80,MG Hector 2024,MG,1856499.0,15.7,Petrol,Automatic,5,SUV,4.4,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2024,mg_hector_2025.jpg
81,Kia Sonet 2024,Kia,986733.0,19.0,Diesel,Automatic,5,SUV,4.6,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2024,kia_sonet_2025.jpg
82,Mahindra XUV700 2022,Mahindra,2004682.0,17.3,Diesel,Automatic,7,SUV,4.8,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2022,mahindra_xuv700_2025.jpg
83,Maruti Suzuki Ertiga 2022,Maruti Suzuki,1112859.0,19.8,Petrol,Manual,7,SUV,4.3,"Family,Long Drive",ABS|Airbags|Touchscreen|Rear AC,1462,4,2022,maruti_suzuki_maruti_ertiga.jpg
84,Hyundai i20 2022,Hyundai,967739.0,20.1,Petrol,Manual,5,Hatchback,4.6,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
85,Tata Tiago EV 2025,Tata,895260.0,304.7,Electric,Automatic,5,Hatchback,4.8,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2025,tata_tiago_ev_2025.jpg
86,Hyundai Verna 2025,Hyundai,1476652.0,17.7,Petrol,Automatic,5,Sedan,4.5,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
87,Tata Altroz 2022,Tata,794194.0,23.8,Diesel,Manual,5,Hatchback,4.5,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2022,tata_altroz_2025.jpg
88,Tata Altroz 2025,Tata,800032.0,21.9,Diesel,Manual,5,Hatchback,4.3,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2025,tata_altroz_2025.jpg
89,Mahindra XUV700 2022,Mahindra,1772584.0,16.6,Diesel,Automatic,7,SUV,4.4,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2022,mahindra_xuv700_2025.jpg
90,Volkswagen Virtus 2024,Volkswagen,1260052.0,19.1,Petrol,Automatic,5,Sedan,4.8,"City,Long Drive",Digital Cockpit|Airbags|Touchscreen|Cruise Control,1498,5,2024,volkswagen_virtus_2024.jpg
91,Mahindra Scorpio N 2024,Mahindra,1769181.0,15.4,Diesel,Automatic,7,SUV,4.5,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2024,mahindra_scorpio_n_2025.jpg
92,Volkswagen Virtus 2022,Volkswagen,1234023.0,19.2,Petrol,Automatic,5,Sedan,4.4,"City,Long Drive",Digital Cockpit|Airbags|Touchscreen|Cruise Control,1498,5,2022,volkswagen_virtus_2024.jpg
93,Tata Tiago EV 2022,Tata,977176.0,327.8,Electric,Automatic,5,Hatchback,4.7,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2022,tata_tiago_ev_2025.jpg
94,Hyundai i20 2022,Hyundai,916593.0,20.0,Petrol,Manual,5,Hatchback,4.7,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
95,Maruti Suzuki Baleno 2024,Maruti Suzuki,882933.0,21.6,Petrol,Automatic,5,Hatchback,4.5,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2024,maruti_suzuki_maruti_baleno.jpg
96,MG ZS EV 2024,MG,2410520.0,403.7,Electric,Automatic,5,SUV,4.6,"City,Family",Fast Charging|Airbags|Connected Car|Sunroof,0,5,2024,mg_zs_ev_2024.jpg
97,Maruti Suzuki Dzire 2023,Maruti Suzuki,755719.0,22.5,Petrol,Manual,5,Sedan,4.3,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2023,maruti_suzuki_dzire_2025.jpg
98,MG Hector 2024,MG,1864918.0,16.3,Petrol,Automatic,5,SUV,4.4,"Family,Long Drive",Panoramic Sunroof|Airbags|Connected Car|ADAS,1451,5,2024,mg_hector_2025.jpg
99,Hyundai Verna 2025,Hyundai,1300474.0,18.1,Petrol,Automatic,5,Sedan,4.8,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
100,Mahindra Scorpio N 2024,Mahindra,1591684.0,15.1,Diesel,Automatic,7,SUV,4.3,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2024,mahindra_scorpio_n_2025.jpg
101,Kia Seltos 2024,Kia,1216595.0,17.0,Petrol,Automatic,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2024,kia_seltos_2024.jpg
102,Tata Tiago EV 2025,Tata,925469.0,326.9,Electric,Automatic,5,Hatchback,4.3,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2025,tata_tiago_ev_2025.jpg
103,Honda Amaze 2024,Honda,941752.0,19.2,Petrol,Automatic,5,Sedan,4.6,"City,Family",ABS|Airbags|Touchscreen|AC,1199,4,2024,honda_amaze_2024.jpg
104,Kia Sonet 2025,Kia,1030422.0,18.4,Diesel,Automatic,5,SUV,4.7,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2025,kia_sonet_2025.jpg
105,Skoda Slavia 2024,Skoda,1116847.0,18.4,Petrol,Automatic,5,Sedan,4.8,"City,Long Drive",Sunroof|Airbags|Touchscreen|Cruise Control,1498,5,2024,skoda_slavia_2024.jpg
106,Hyundai i20 2022,Hyundai,863768.0,21.5,Petrol,Manual,5,Hatchback,4.9,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
107,Volkswagen Virtus 2023,Volkswagen,1176386.0,18.6,Petrol,Automatic,5,Sedan,4.8,"City,Long Drive",Digital Cockpit|Airbags|Touchscreen|Cruise Control,1498,5,2023,volkswagen_virtus_2024.jpg
108,Tata Punch 2023,Tata,791503.0,19.7,Petrol,Manual,5,SUV,4.3,"City,Off-road",ABS|Airbags|Touchscreen|Hill Assist,1199,4,2023,tata_punch.jpg
109,Maruti Suzuki Ertiga 2025,Maruti Suzuki,1115764.0,21.1,Petrol,Manual,7,SUV,4.4,"Family,Long Drive",ABS|Airbags|Touchscreen|Rear AC,1462,4,2025,maruti_suzuki_maruti_ertiga.jpg
110,Tata Tiago EV 2023,Tata,964417.0,323.4,Electric,Automatic,5,Hatchback,4.8,"City,Family",Fast Charging|Airbags|Touchscreen|Connected Car,0,4,2023,tata_tiago_ev_2025.jpg
48,Tata Altroz 2025,Tata,905436.39,24.32,CNG,Manual,5,Hatchback,4.6,"City,Family",ABS|Airbags|Harman Audio|AC,1497,5,2025,tata_altroz_2025.jpg
7,Toyota Fortuner,Toyota,3780385.71,14.16,Petrol,Automatic,7,SUV,4.9,"Family,Long Drive,Off-road",4WD|Leather Seats|Premium Audio|Adaptive Cruise,2755,5,2023,toyota_fortuner.jpg
37,Tata Harrier 2024,Tata,1847049.86,15.7,Diesel,Automatic,5,SUV,4.6,"Family,Long Drive",Panoramic Sunroof|Airbags|Cruise Control|JBL Audio,1956,5,2024,tata_harrier_2025.jpg
3,Tata Nexon EV,Tata,1367064.17,287.69,Petrol,Automatic,5,SUV,4.6,"City,Family",Regenerative Braking|Fast Charging|Connected Car|iRA AI,0,5,2023,tata_nexon_ev.jpg
22,Hyundai i20,Hyundai,898480.83,21.9,CNG,Manual,5,Hatchback,4.4,"City,Family",BlueLink|Sunroof|Wireless Charging|Digital Cluster,998,4,2023,hyundai_i20.jpg
13,Mahindra Scorpio N,Mahindra,1229822.51,13.86,Diesel,Manual,7,SUV,4.6,"Family,Off-road",4WD|Hill Hold|Cruise Control|Sunroof,2184,4,2023,mahindra_scorpio_n_2025.jpg
95,Maruti Suzuki Baleno 2024,Maruti Suzuki,1056669.26,20.1,Petrol,Manual,5,Hatchback,4.5,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2024,maruti_suzuki_maruti_baleno.jpg
62,Mahindra XUV700 2025,Mahindra,2127462.06,16.47,CNG,Manual,7,SUV,4.8,"Family,Long Drive",ADAS|Panoramic Sunroof|Airbags|Cruise Control,2198,5,2025,mahindra_xuv700_2025.jpg
19,Renault Kiger,Renault,606736.25,18.95,CNG,Manual,5,SUV,4.2,"City,Family",Wireless Android Auto|LED DRLs|8-inch Touchscreen,999,4,2023,renault_kiger.jpg
90,Volkswagen Virtus 2024,Volkswagen,1434998.85,19.0,Diesel,Manual,5,Sedan,4.8,"City,Long Drive",Digital Cockpit|Airbags|Touchscreen|Cruise Control,1498,5,2024,volkswagen_virtus_2024.jpg
43,Maruti Suzuki Ertiga 2023,Maruti Suzuki,1264021.19,20.73,Petrol,Automatic,7,SUV,4.8,"Family,Long Drive",ABS|Airbags|Touchscreen|Rear AC,1462,4,2023,maruti_suzuki_maruti_ertiga.jpg
72,Tata Safari 2023,Tata,1958755.47,13.98,CNG,Automatic,7,SUV,4.4,"Family,Long Drive",Panoramic Sunroof|Airbags|Cruise Control|JBL Audio,1956,5,2023,tata_safari_2023.jpg
17,Volkswagen Virtus,Volkswagen,1079322.24,17.23,Diesel,Automatic,5,Sedan,4.6,"City,Long Drive",Ventilated Seats|Digital Cockpit|Wireless Charging,1498,5,2023,volkswagen_virtus_2024.jpg
34,Kia Seltos 2023,Kia,1299541.1,20.04,Diesel,Manual,5,SUV,4.5,"Family,Long Drive",Sunroof|Cruise Control|Airbags|ADAS,1497,5,2023,kia_seltos_2024.jpg
1,Maruti Suzuki Swift,Maruti Suzuki,700214.59,24.2,Petrol,Manual,5,Hatchback,4.5,"City,Family",ABS|Airbags|Power Steering|AC,1197,4,2023,maruti_suzuki_swift.jpg
99,Hyundai Verna 2025,Hyundai,1370737.92,19.38,Diesel,Manual,5,Sedan,4.8,"City,Long Drive",ADAS|Sunroof|Airbags|Bose Audio,1497,5,2025,hyundai_verna_2025.jpg
12,Maruti Baleno,Maruti Suzuki,652858.67,21.5,CNG,Manual,5,Hatchback,4.4,"City,Family",Smartplay Studio|Head-up Display|Premium Interior,1197,4,2023,maruti_suzuki_maruti_baleno.jpg
56,Maruti Suzuki Dzire 2022,Maruti Suzuki,764572.34,21.66,Diesel,Manual,5,Sedan,4.7,"City,Family",ABS|Airbags|Touchscreen|AC,1197,4,2022,maruti_suzuki_dzire_2025.jpg
68,Kia Sonet 2025,Kia,1151346.35,17.09,Petrol,Manual,5,SUV,4.8,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2025,kia_sonet_2025.jpg
104,Kia Sonet 2025,Kia,985275.48,19.32,Petrol,Manual,5,SUV,4.7,"City,Long Drive",Ventilated Seats|Airbags|Touchscreen|Bose Audio,1493,5,2025,kia_sonet_2025.jpg
94,Hyundai i20 2022,Hyundai,826232.23,17.22,CNG,Automatic,5,Hatchback,4.7,"City,Family",Sunroof|Airbags|Touchscreen|Cruise Control,1197,4,2022,hyundai_verna_2025.jpg
78,Mahindra Scorpio N 2025,Mahindra,1587769.44,15.57,Diesel,Manual,7,SUV,4.4,"Off-road,Family",4x4|Airbags|Touchscreen|Hill Descent,2198,5,2025,mahindra_scorpio_n_2025.jpg
