id,make,model,year,price,body_type,fuel_type,transmission,engine_size,horsepower,seating_capacity,fuel_economy,safety_rating,features,description
22,BMW,M3,2021,69531,Coupe,Petrol,Automatic,1.3,581,4,34,3,"Apple CarPlay, Heated Seats, Sunroof, Cruise Control",The 2021 BMW M3 is a premium Coupe offering exceptional performance and modern features like Apple CarPlay and Heated Seats.
23,BMW,5 Series,2020,64069,Truck,Hybrid,Automatic,1.3,266,5,22,3,"Navigation System, Heated Seats, Cruise Control",The 2020 BMW 5 Series is a premium Truck offering exceptional performance and modern features like Navigation System and Heated Seats.
24,Hyundai,Santa Fe,2020,36938,Luxury,Petrol,Manual,4.3,387,5,22,3,"Backup Camera, Heated Seats, Sunroof",The 2020 Hyundai Santa Fe is a premium Luxury offering exceptional performance and modern features like Backup Camera and Heated Seats.
25,Hyundai,Ioniq 5,2020,40305,SUV,Electric,Automatic,0.0,364,5,100,3,"Bluetooth, Cruise Control, Heated Seats, Leather Seats, Blind Spot Monitor, Sunroof",The 2020 Hyundai Ioniq 5 is a premium SUV offering exceptional performance and modern features like Bluetooth and Cruise Control.
26,Hyundai,Tucson,2019,42506,SUV,Petrol,Automatic,4.2,271,7,24,3,"Backup Camera, Apple CarPlay, Leather Seats, Navigation System, Blind Spot Monitor",The 2019 Hyundai Tucson is a premium SUV offering exceptional performance and modern features like Backup Camera and Apple CarPlay.
27,Kia,EV6,2021,32186,Sedan,Electric,Automatic,0.0,645,5,108,3,"Blind Spot Monitor, Apple CarPlay, Sunroof, Android Auto, Heated Seats",The 2021 Kia EV6 is a premium Sedan offering exceptional performance and modern features like Blind Spot Monitor and Apple CarPlay.
28,BMW,X5,2023,51167,SUV,Hybrid,Automatic,3.1,542,7,24,5,"Cruise Control, Heated Seats, Bluetooth, Navigation System, Sunroof",The 2023 BMW X5 is a premium SUV offering exceptional performance and modern features like Cruise Control and Heated Seats.
29,Hyundai,Sonata,2019,48322,SUV,Petrol,Automatic,2.1,255,5,20,4,"Android Auto, Apple CarPlay, Cruise Control, Leather Seats, Heated Seats, Backup Camera",The 2019 Hyundai Sonata is a premium SUV offering exceptional performance and modern features like Android Auto and Apple CarPlay.
30,Mercedes-Benz,GLC,2020,72361,Hatchback,Petrol,Automatic,1.2,339,5,39,3,"Heated Seats, Blind Spot Monitor, Apple CarPlay, Leather Seats, Backup Camera",The 2020 Mercedes-Benz GLC is a premium Hatchback offering exceptional performance and modern features like Heated Seats and Blind Spot Monitor.
31,Toyota,Camry,2019,30029,Truck,Hybrid,Automatic,4.9,436,5,20,3,"Heated Seats, Blind Spot Monitor, Bluetooth, Leather Seats, Sunroof",The 2019 Toyota Camry is a premium Truck offering exceptional performance and modern features like Heated Seats and Blind Spot Monitor.
32,Toyota,Camry,2023,36829,Coupe,Petrol,Automatic,4.7,449,2,27,4,"Sunroof, Cruise Control, Android Auto, Bluetooth, Heated Seats, Backup Camera",The 2023 Toyota Camry is a premium Coupe offering exceptional performance and modern features like Sunroof and Cruise Control.
33,Honda,Pilot,2022,29964,Sedan,Petrol,Automatic,1.3,320,5,20,3,"Android Auto, Bluetooth, Backup Camera, Apple CarPlay, Sunroof, Navigation System",The 2022 Honda Pilot is a premium Sedan offering exceptional performance and modern features like Android Auto and Bluetooth.
34,Honda,CR-V,2023,30124,SUV,Petrol,Automatic,4.3,343,7,30,3,"Bluetooth, Backup Camera, Leather Seats, Blind Spot Monitor",The 2023 Honda CR-V is a premium SUV offering exceptional performance and modern features like Bluetooth and Backup Camera.
35,Ford,F-150,2023,33175,Truck,Diesel,Automatic,4.0,378,5,19,3,"Backup Camera, Android Auto, Bluetooth, Leather Seats",The 2023 Ford F-150 is a premium Truck offering exceptional performance and modern features like Backup Camera and Android Auto.
36,Tesla,Model Y,2019,54976,SUV,Electric,Automatic,0.0,344,5,92,5,"Bluetooth, Leather Seats, Apple CarPlay, Blind Spot Monitor",The 2019 Tesla Model Y is a premium SUV offering exceptional performance and modern features like Bluetooth and Leather Seats.
37,Audi,e-tron,2023,62173,SUV,Electric,Automatic,0.0,684,7,127,4,"Android Auto, Heated Seats, Navigation System, Apple CarPlay",The 2023 Audi e-tron is a premium SUV offering exceptional performance and modern features like Android Auto and Heated Seats.
38,Audi,A6,2021,60320,Truck,Hybrid,Automatic,4.4,392,5,19,4,"Android Auto, Sunroof, Apple CarPlay, Backup Camera",The 2021 Audi A6 is a premium Truck offering exceptional performance and modern features like Android Auto and Sunroof.
39,Kia,Sportage,2024,47415,Luxury,Petrol,Automatic,4.6,314,5,37,3,"Android Auto, Bluetooth, Sunroof, Heated Seats",The 2024 Kia Sportage is a premium Luxury offering exceptional performance and modern features like Android Auto and Bluetooth.
40,BMW,3 Series,2023,56376,Luxury,Petrol,Automatic,3.1,420,5,28,4,"Backup Camera, Apple CarPlay, Leather Seats",The 2023 BMW 3 Series is a premium Luxury offering exceptional performance and modern features like Backup Camera and Apple CarPlay.
41,Toyota,Camry,2021,42660,Luxury,Petrol,Automatic,3.0,593,5,42,4,"Backup Camera, Blind Spot Monitor, Sunroof, Navigation System, Heated Seats, Android Auto",The 2021 Toyota Camry is a premium Luxury offering exceptional performance and modern features like Backup Camera and Blind Spot Monitor.
42,Chevrolet,Tahoe,2021,63086,Sedan,Electric,Automatic,0.0,288,5,106,5,"Cruise Control, Bluetooth, Leather Seats, Heated Seats",The 2021 Chevrolet Tahoe is a premium Sedan offering exceptional performance and modern features like Cruise Control and Bluetooth.
43,Kia,EV6,2020,31371,Coupe,Electric,Automatic,0.0,618,2,126,4,"Android Auto, Bluetooth, Backup Camera, Sunroof, Heated Seats, Navigation System",The 2020 Kia EV6 is a premium Coupe offering exceptional performance and modern features like Android Auto and Bluetooth.
44,Mercedes-Benz,S-Class,2024,51605,Luxury,Hybrid,Automatic,4.3,271,5,42,3,"Sunroof, Apple CarPlay, Android Auto, Heated Seats, Leather Seats",The 2024 Mercedes-Benz S-Class is a premium Luxury offering exceptional performance and modern features like Sunroof and Apple CarPlay.
45,Mercedes-Benz,C-Class,2024,68935,Coupe,Diesel,Manual,3.3,511,4,32,3,"Bluetooth, Leather Seats, Navigation System, Android Auto",The 2024 Mercedes-Benz C-Class is a premium Coupe offering exceptional performance and modern features like Bluetooth and Leather Seats.
46,Toyota,Corolla,2024,37607,Coupe,Petrol,Automatic,3.0,378,4,37,4,"Blind Spot Monitor, Heated Seats, Apple CarPlay",The 2024 Toyota Corolla is a premium Coupe offering exceptional performance and modern features like Blind Spot Monitor and Heated Seats.
47,Toyota,Camry,2021,39231,Coupe,Petrol,Automatic,4.7,437,2,37,4,"Bluetooth, Navigation System, Blind Spot Monitor",The 2021 Toyota Camry is a premium Coupe offering exceptional performance and modern features like Bluetooth and Navigation System.
48,Hyundai,Tucson,2019,47797,SUV,Hybrid,Manual,1.9,458,7,23,3,"Navigation System, Backup Camera, Apple CarPlay",The 2019 Hyundai Tucson is a premium SUV offering exceptional performance and modern features like Navigation System and Backup Camera.
49,Audi,A4,2019,52192,Sedan,Petrol,Automatic,1.5,223,5,38,5,"Navigation System, Sunroof, Android Auto, Backup Camera, Leather Seats",The 2019 Audi A4 is a premium Sedan offering exceptional performance and modern features like Navigation System and Sunroof.
50,Toyota,Highlander,2024,34446,Hatchback,Hybrid,Automatic,2.4,530,5,42,3,"Android Auto, Blind Spot Monitor, Sunroof, Bluetooth",The 2024 Toyota Highlander is a premium Hatchback offering exceptional performance and modern features like Android Auto and Blind Spot Monitor.
51,Mercedes-Benz,S-Class,2022,56359,Luxury,Petrol,Automatic,1.8,166,5,23,3,"Bluetooth, Heated Seats, Sunroof, Navigation System",The 2022 Mercedes-Benz S-Class is a premium Luxury offering exceptional performance and modern features like Bluetooth and Heated Seats.
52,Chevrolet,Equinox,2024,49938,Luxury,Hybrid,Automatic,1.6,230,5,27,5,"Bluetooth, Heated Seats, Cruise Control, Android Auto, Sunroof, Leather Seats",The 2024 Chevrolet Equinox is a premium Luxury offering exceptional performance and modern features like Bluetooth and Heated Seats.
53,Kia,Sportage,2023,36559,Sedan,Hybrid,Automatic,1.6,524,5,33,4,"Leather Seats, Backup Camera, Blind Spot Monitor, Apple CarPlay, Navigation System",The 2023 Kia Sportage is a premium Sedan offering exceptional performance and modern features like Leather Seats and Backup Camera.
54,Kia,K5,2022,31456,Truck,Diesel,Automatic,2.8,209,3,21,4,"Android Auto, Blind Spot Monitor, Navigation System, Heated Seats, Backup Camera",The 2022 Kia K5 is a premium Truck offering exceptional performance and modern features like Android Auto and Blind Spot Monitor.
55,Hyundai,Elantra,2022,37997,Truck,Hybrid,Automatic,3.4,269,5,19,3,"Navigation System, Leather Seats, Bluetooth, Cruise Control, Heated Seats",The 2022 Hyundai Elantra is a premium Truck offering exceptional performance and modern features like Navigation System and Leather Seats.
56,Toyota,Camry,2023,34181,Hatchback,Petrol,Manual,2.0,404,5,36,3,"Bluetooth, Backup Camera, Blind Spot Monitor",The 2023 Toyota Camry is a premium Hatchback offering exceptional performance and modern features like Bluetooth and Backup Camera.
57,Mercedes-Benz,GLE,2019,61485,Coupe,Hybrid,Automatic,2.5,174,2,29,4,"Heated Seats, Navigation System, Android Auto, Cruise Control, Blind Spot Monitor",The 2019 Mercedes-Benz GLE is a premium Coupe offering exceptional performance and modern features like Heated Seats and Navigation System.
58,Toyota,Camry,2021,39295,Hatchback,Petrol,Automatic,2.5,348,5,22,5,"Navigation System, Android Auto, Sunroof",The 2021 Toyota Camry is a premium Hatchback offering exceptional performance and modern features like Navigation System and Android Auto.
59,BMW,5 Series,2020,66032,Truck,Petrol,Automatic,3.4,307,3,19,5,"Android Auto, Blind Spot Monitor, Navigation System, Sunroof",The 2020 BMW 5 Series is a premium Truck offering exceptional performance and modern features like Android Auto and Blind Spot Monitor.
60,Kia,K5,2023,32083,Hatchback,Hybrid,Automatic,1.7,321,5,43,5,"Blind Spot Monitor, Navigation System, Apple CarPlay, Backup Camera",The 2023 Kia K5 is a premium Hatchback offering exceptional performance and modern features like Blind Spot Monitor and Navigation System.
61,Kia,Forte,2024,42685,Hatchback,Petrol,Automatic,4.6,217,5,42,3,"Bluetooth, Cruise Control, Blind Spot Monitor, Sunroof, Backup Camera",The 2024 Kia Forte is a premium Hatchback offering exceptional performance and modern features like Bluetooth and Cruise Control.
62,Toyota,Prius,2019,48525,SUV,Electric,Automatic,0.0,591,5,120,4,"Blind Spot Monitor, Heated Seats, Android Auto, Cruise Control, Bluetooth",The 2019 Toyota Prius is a premium SUV offering exceptional performance and modern features like Blind Spot Monitor and Heated Seats.
63,Toyota,Corolla,2023,49027,Coupe,Petrol,Automatic,1.8,482,4,40,5,"Heated Seats, Leather Seats, Bluetooth, Blind Spot Monitor",The 2023 Toyota Corolla is a premium Coupe offering exceptional performance and modern features like Heated Seats and Leather Seats.
64,Honda,HR-V,2019,32715,Luxury,Petrol,Manual,4.4,484,5,30,4,"Android Auto, Cruise Control, Backup Camera",The 2019 Honda HR-V is a premium Luxury offering exceptional performance and modern features like Android Auto and Cruise Control.
65,Hyundai,Sonata,2019,38350,Hatchback,Hybrid,Automatic,3.8,597,5,25,4,"Heated Seats, Leather Seats, Apple CarPlay, Android Auto, Sunroof, Bluetooth",The 2019 Hyundai Sonata is a premium Hatchback offering exceptional performance and modern features like Heated Seats and Leather Seats.
66,Kia,Forte,2022,26341,Hatchback,Electric,Automatic,0.0,330,5,126,4,"Blind Spot Monitor, Bluetooth, Navigation System, Cruise Control, Backup Camera, Android Auto",The 2022 Kia Forte is a premium Hatchback offering exceptional performance and modern features like Blind Spot Monitor and Bluetooth.
67,Kia,EV6,2020,49622,SUV,Electric,Automatic,0.0,650,5,111,4,"Backup Camera, Heated Seats, Apple CarPlay, Blind Spot Monitor, Android Auto",The 2020 Kia EV6 is a premium SUV offering exceptional performance and modern features like Backup Camera and Heated Seats.
68,Tesla,Model S,2021,54497,Sedan,Electric,Automatic,0.0,522,5,120,5,"Sunroof, Heated Seats, Apple CarPlay, Bluetooth, Backup Camera, Blind Spot Monitor",The 2021 Tesla Model S is a premium Sedan offering exceptional performance and modern features like Sunroof and Heated Seats.
69,Toyota,Highlander,2023,40317,Sedan,Electric,Automatic,0.0,265,5,91,5,"Backup Camera, Sunroof, Bluetooth, Android Auto, Apple CarPlay",The 2023 Toyota Highlander is a premium Sedan offering exceptional performance and modern features like Backup Camera and Sunroof.
70,Audi,Q7,2023,68416,SUV,Petrol,Automatic,3.6,559,5,44,4,"Apple CarPlay, Leather Seats, Blind Spot Monitor, Cruise Control",The 2023 Audi Q7 is a premium SUV offering exceptional performance and modern features like Apple CarPlay and Leather Seats.
71,Hyundai,Sonata,2022,25145,Coupe,Petrol,Automatic,4.7,582,4,36,3,"Sunroof, Bluetooth, Heated Seats, Leather Seats, Blind Spot Monitor, Cruise Control",The 2022 Hyundai Sonata is a premium Coupe offering exceptional performance and modern features like Sunroof and Bluetooth.
72,Hyundai,Tucson,2024,26868,SUV,Hybrid,Automatic,1.4,191,7,41,3,"Navigation System, Backup Camera, Cruise Control, Bluetooth, Heated Seats",The 2024 Hyundai Tucson is a premium SUV offering exceptional performance and modern features like Navigation System and Backup Camera.
73,Mercedes-Benz,S-Class,2023,58245,Sedan,Petrol,Automatic,3.2,498,5,29,5,"Blind Spot Monitor, Heated Seats, Android Auto, Backup Camera",The 2023 Mercedes-Benz S-Class is a premium Sedan offering exceptional performance and modern features like Blind Spot Monitor and Heated Seats.
74,Kia,Forte,2022,26933,Truck,Petrol,Manual,2.2,595,5,23,4,"Apple CarPlay, Backup Camera, Leather Seats, Heated Seats, Cruise Control, Navigation System",The 2022 Kia Forte is a premium Truck offering exceptional performance and modern features like Apple CarPlay and Backup Camera.
75,Mercedes-Benz,GLC,2023,55295,SUV,Petrol,Manual,1.6,403,5,36,4,"Heated Seats, Bluetooth, Backup Camera, Sunroof, Navigation System, Android Auto",The 2023 Mercedes-Benz GLC is a premium SUV offering exceptional performance and modern features like Heated Seats and Bluetooth.
76,Hyundai,Tucson,2022,39688,SUV,Petrol,Automatic,2.5,164,7,29,5,"Blind Spot Monitor, Backup Camera, Android Auto, Sunroof, Leather Seats",The 2022 Hyundai Tucson is a premium SUV offering exceptional performance and modern features like Blind Spot Monitor and Backup Camera.
77,Audi,A6,2020,52719,Hatchback,Petrol,Manual,1.2,377,5,33,3,"Android Auto, Blind Spot Monitor, Backup Camera",The 2020 Audi A6 is a premium Hatchback offering exceptional performance and modern features like Android Auto and Blind Spot Monitor.
78,Hyundai,Sonata,2022,29543,Truck,Hybrid,Automatic,4.1,193,5,19,3,"Navigation System, Heated Seats, Sunroof, Cruise Control",The 2022 Hyundai Sonata is a premium Truck offering exceptional performance and modern features like Navigation System and Heated Seats.
79,Mercedes-Benz,C-Class,2020,59077,Sedan,Petrol,Automatic,4.4,389,5,34,3,"Heated Seats, Leather Seats, Sunroof, Android Auto, Bluetooth, Apple CarPlay",The 2020 Mercedes-Benz C-Class is a premium Sedan offering exceptional performance and modern features like Heated Seats and Leather Seats.
80,Ford,Explorer,2020,36801,SUV,Petrol,Automatic,4.8,218,5,26,5,"Android Auto, Sunroof, Apple CarPlay, Navigation System, Cruise Control",The 2020 Ford Explorer is a premium SUV offering exceptional performance and modern features like Android Auto and Sunroof.
81,Hyundai,Santa Fe,2023,45500,Truck,Diesel,Automatic,2.2,506,5,16,3,"Blind Spot Monitor, Heated Seats, Cruise Control, Navigation System, Bluetooth",The 2023 Hyundai Santa Fe is a premium Truck offering exceptional performance and modern features like Blind Spot Monitor and Heated Seats.
82,Kia,Forte,2023,28380,Hatchback,Hybrid,Automatic,3.6,567,5,31,3,"Android Auto, Apple CarPlay, Navigation System, Leather Seats, Bluetooth, Sunroof",The 2023 Kia Forte is a premium Hatchback offering exceptional performance and modern features like Android Auto and Apple CarPlay.
83,Kia,Sorento,2024,30109,Truck,Petrol,Automatic,2.4,324,5,16,4,"Bluetooth, Backup Camera, Blind Spot Monitor, Android Auto, Sunroof, Navigation System",The 2024 Kia Sorento is a premium Truck offering exceptional performance and modern features like Bluetooth and Backup Camera.
84,Hyundai,Tucson,2024,28762,SUV,Petrol,Automatic,4.9,279,5,41,4,"Heated Seats, Cruise Control, Navigation System, Bluetooth, Android Auto, Blind Spot Monitor",The 2024 Hyundai Tucson is a premium SUV offering exceptional performance and modern features like Heated Seats and Cruise Control.
85,Kia,EV6,2024,48116,Luxury,Electric,Automatic,0.0,352,5,127,5,"Heated Seats, Navigation System, Cruise Control, Sunroof",The 2024 Kia EV6 is a premium Luxury offering exceptional performance and modern features like Heated Seats and Navigation System.
86,Ford,Explorer,2024,43440,SUV,Hybrid,Automatic,3.3,489,7,27,4,"Apple CarPlay, Sunroof, Heated Seats, Navigation System, Leather Seats, Android Auto",The 2024 Ford Explorer is a premium SUV offering exceptional performance and modern features like Apple CarPlay and Sunroof.
87,Ford,F-150,2022,29109,Truck,Electric,Automatic,0.0,336,5,21,4,"Sunroof, Heated Seats, Blind Spot Monitor, Leather Seats, Backup Camera, Cruise Control",The 2022 Ford F-150 is a premium Truck offering exceptional performance and modern features like Sunroof and Heated Seats.
88,Ford,Mach-E,2019,41002,Luxury,Electric,Automatic,0.0,284,5,104,3,"Heated Seats, Cruise Control, Apple CarPlay, Blind Spot Monitor, Backup Camera",The 2019 Ford Mach-E is a premium Luxury offering exceptional performance and modern features like Heated Seats and Cruise Control.
89,Hyundai,Sonata,2019,40282,Sedan,Petrol,Automatic,3.0,185,5,34,4,"Blind Spot Monitor, Backup Camera, Sunroof, Navigation System, Apple CarPlay, Android Auto",The 2019 Hyundai Sonata is a premium Sedan offering exceptional performance and modern features like Blind Spot Monitor and Backup Camera.
90,Ford,Mach-E,2020,44342,Sedan,Electric,Automatic,0.0,769,5,119,5,"Backup Camera, Cruise Control, Blind Spot Monitor, Sunroof",The 2020 Ford Mach-E is a premium Sedan offering exceptional performance and modern features like Backup Camera and Cruise Control.
91,Hyundai,Elantra,2022,33321,Coupe,Diesel,Automatic,2.7,282,2,20,3,"Android Auto, Sunroof, Backup Camera, Bluetooth, Navigation System",The 2022 Hyundai Elantra is a premium Coupe offering exceptional performance and modern features like Android Auto and Sunroof.
92,Toyota,Prius,2022,30895,Hatchback,Hybrid,Automatic,2.6,403,5,44,5,"Bluetooth, Leather Seats, Android Auto",The 2022 Toyota Prius is a premium Hatchback offering exceptional performance and modern features like Bluetooth and Leather Seats.
93,Tesla,Model Y,2024,66001,SUV,Electric,Automatic,0.0,269,5,124,4,"Heated Seats, Android Auto, Bluetooth",The 2024 Tesla Model Y is a premium SUV offering exceptional performance and modern features like Heated Seats and Android Auto.
94,Hyundai,Tucson,2021,25125,SUV,Hybrid,Automatic,4.5,342,5,30,4,"Sunroof, Cruise Control, Leather Seats, Apple CarPlay, Android Auto",The 2021 Hyundai Tucson is a premium SUV offering exceptional performance and modern features like Sunroof and Cruise Control.
95,Audi,A6,2023,74704,Truck,Petrol,Manual,1.9,409,5,24,5,"Navigation System, Bluetooth, Heated Seats, Cruise Control",The 2023 Audi A6 is a premium Truck offering exceptional performance and modern features like Navigation System and Bluetooth.
96,Tesla,Model 3,2019,63598,Sedan,Electric,Automatic,0.0,553,5,115,4,"Cruise Control, Android Auto, Backup Camera, Navigation System, Bluetooth, Sunroof",The 2019 Tesla Model 3 is a premium Sedan offering exceptional performance and modern features like Cruise Control and Android Auto.
97,Kia,EV6,2023,44614,Sedan,Electric,Automatic,0.0,573,5,127,4,"Apple CarPlay, Backup Camera, Android Auto, Sunroof, Navigation System, Bluetooth",The 2023 Kia EV6 is a premium Sedan offering exceptional performance and modern features like Apple CarPlay and Backup Camera.
98,Toyota,Camry,2023,28726,Sedan,Petrol,Automatic,3.8,435,5,44,3,"Blind Spot Monitor, Apple CarPlay, Bluetooth",The 2023 Toyota Camry is a premium Sedan offering exceptional performance and modern features like Blind Spot Monitor and Apple CarPlay.
99,Chevrolet,Equinox,2024,37040,Hatchback,Petrol,Manual,4.4,531,5,40,3,"Sunroof, Apple CarPlay, Bluetooth, Cruise Control",The 2024 Chevrolet Equinox is a premium Hatchback offering exceptional performance and modern features like Sunroof and Apple CarPlay.
100,Audi,A6,2022,63178,Hatchback,Petrol,Automatic,1.2,422,5,40,5,"Sunroof, Apple CarPlay, Android Auto",The 2022 Audi A6 is a premium Hatchback offering exceptional performance and modern features like Sunroof and Apple CarPlay.
101,Tesla,Model X,2023,53610,SUV,Electric,Automatic,0.0,405,5,125,4,"Bluetooth, Apple CarPlay, Cruise Control, Heated Seats",The 2023 Tesla Model X is a premium SUV offering exceptional performance and modern features like Bluetooth and Apple CarPlay.
102,Chevrolet,Corvette,2019,84489,Coupe,Petrol,Manual,3.0,382,2,31,3,"Cruise Control, Blind Spot Monitor, Leather Seats, Sunroof",The 2019 Chevrolet Corvette is a premium Coupe offering exceptional performance and modern features like Cruise Control and Blind Spot Monitor.
103,Chevrolet,Equinox,2019,34852,SUV,Hybrid,Automatic,2.1,412,5,43,5,"Heated Seats, Navigation System, Blind Spot Monitor, Sunroof, Apple CarPlay, Backup Camera",The 2019 Chevrolet Equinox is a premium SUV offering exceptional performance and modern features like Heated Seats and Navigation System.
104,BMW,3 Series,2021,69563,SUV,Petrol,Automatic,1.9,412,7,26,5,"Backup Camera, Apple CarPlay, Bluetooth, Navigation System",The 2021 BMW 3 Series is a premium SUV offering exceptional performance and modern features like Backup Camera and Apple CarPlay.
105,Ford,Mustang,2024,48164,Coupe,Diesel,Manual,1.7,138,2,25,4,"Blind Spot Monitor, Leather Seats, Heated Seats, Cruise Control, Android Auto, Sunroof",The 2024 Ford Mustang is a premium Coupe offering exceptional performance and modern features like Blind Spot Monitor and Leather Seats.
106,Toyota,RAV4,2024,27472,SUV,Diesel,Automatic,4.4,563,7,40,4,"Sunroof, Bluetooth, Apple CarPlay, Android Auto, Blind Spot Monitor, Navigation System",The 2024 Toyota RAV4 is a premium SUV offering exceptional performance and modern features like Sunroof and Bluetooth.
107,Honda,Pilot,2020,45258,SUV,Petrol,Automatic,3.4,561,7,32,3,"Backup Camera, Blind Spot Monitor, Navigation System, Cruise Control, Sunroof",The 2020 Honda Pilot is a premium SUV offering exceptional performance and modern features like Backup Camera and Blind Spot Monitor.
108,Hyundai,Santa Fe,2021,26679,Coupe,Petrol,Automatic,1.8,124,2,43,3,"Android Auto, Cruise Control, Bluetooth",The 2021 Hyundai Santa Fe is a premium Coupe offering exceptional performance and modern features like Android Auto and Cruise Control.
